# Data from file elec.dat distributed with Introduction to
# Time Series and Forecasting by Peter J. Brockwell and
# Richard A. Davis, Springer 1996
# (C) 1996 Springer-Verlag New York, Inc.
# Electricity Production - Australia
# Million Kilowatt hours - monthly
# January 1956 to February 1991
# Not referenced in index
# Col. 1: Year
# Col. 2: Month (1 = Jan, ..., 12 = Dec.)
# Col. 3: Monthly Australian electricity production (10^6 KWH)
1956  1  1254         
1956  2  1290         
1956  3  1379         
1956  4  1346         
1956  5  1535         
1956  6  1555         
1956  7  1655         
1956  8  1651         
1956  9  1500         
1956 10  1538         
1956 11  1486         
1956 12  1394         
1957  1  1409         
1957  2  1387         
1957  3  1543         
1957  4  1502         
1957  5  1693         
1957  6  1616         
1957  7  1841         
1957  8  1787         
1957  9  1631         
1957 10  1649         
1957 11  1586         
1957 12  1500         
1958  1  1497         
1958  2  1463         
1958  3  1648         
1958  4  1595         
1958  5  1777         
1958  6  1824         
1958  7  1994         
1958  8  1835         
1958  9  1787         
1958 10  1699         
1958 11  1633         
1958 12  1645         
1959  1  1597         
1959  2  1577         
1959  3  1709         
1959  4  1756         
1959  5  1936         
1959  6  2052         
1959  7  2105         
1959  8  2016         
1959  9  1914         
1959 10  1925         
1959 11  1824         
1959 12  1765         
1960  1  1721         
1960  2  1752         
1960  3  1914         
1960  4  1857         
1960  5  2159         
1960  6  2195         
1960  7  2287         
1960  8  2276         
1960  9  2096         
1960 10  2055         
1960 11  2004         
1960 12  1924         
1961  1  1851         
1961  2  1839         
1961  3  2019         
1961  4  1937         
1961  5  2270         
1961  6  2251         
1961  7  2382         
1961  8  2364         
1961  9  2129         
1961 10  2110         
1961 11  2072         
1961 12  1980         
1962  1  1995         
1962  2  1932         
1962  3  2171         
1962  4  2162         
1962  5  2489         
1962  6  2424         
1962  7  2641         
1962  8  2630         
1962  9  2324         
1962 10  2412         
1962 11  2284         
1962 12  2186         
1963  1  2184         
1963  2  2144         
1963  3  2379         
1963  4  2383         
1963  5  2717         
1963  6  2774         
1963  7  3051         
1963  8  2891         
1963  9  2613         
1963 10  2600         
1963 11  2493         
1963 12  2410         
1964  1  2390         
1964  2  2463         
1964  3  2616         
1964  4  2734         
1964  5  2970         
1964  6  3125         
1964  7  3342         
1964  8  3207         
1964  9  2964         
1964 10  2919         
1964 11  2764         
1964 12  2732         
1965  1  2622         
1965  2  2698         
1965  3  2950         
1965  4  2895         
1965  5  3200         
1965  6  3408         
1965  7  3679         
1965  8  3473         
1965  9  3154         
1965 10  3107         
1965 11  3052         
1965 12  2918         
1966  1  2786         
1966  2  2739         
1966  3  3125         
1966  4  3033         
1966  5  3486         
1966  6  3661         
1966  7  3927         
1966  8  3851         
1966  9  3456         
1966 10  3390         
1966 11  3280         
1966 12  3166         
1967  1  3080         
1967  2  3069         
1967  3  3340         
1967  4  3310         
1967  5  3798         
1967  6  3883         
1967  7  4191         
1967  8  4213         
1967  9  3766         
1967 10  3628         
1967 11  3520         
1967 12  3322         
1968  1  3250         
1968  2  3287         
1968  3  3552         
1968  4  3440         
1968  5  4153         
1968  6  4265         
1968  7  4655         
1968  8  4492         
1968  9  4051         
1968 10  3967         
1968 11  3807         
1968 12  3639         
1969  1  3647         
1969  2  3560         
1969  3  3929         
1969  4  3858         
1969  5  4485         
1969  6  4697         
1969  7  4977         
1969  8  4675         
1969  9  4596         
1969 10  4491         
1969 11  4127         
1969 12  4144         
1970  1  4014         
1970  2  3994         
1970  3  4320         
1970  4  4400         
1970  5  5002         
1970  6  5091         
1970  7  5471         
1970  8  5193         
1970  9  4997         
1970 10  4737         
1970 11  4546         
1970 12  4498         
1971  1  4350         
1971  2  4206         
1971  3  4743         
1971  4  4582         
1971  5  5191         
1971  6  5457         
1971  7  5891         
1971  8  5618         
1971  9  5158         
1971 10  5030         
1971 11  4800         
1971 12  4654         
1972  1  4453         
1972  2  4440         
1972  3  4945         
1972  4  4788         
1972  5  5425         
1972  6  5706         
1972  7  6061         
1972  8  5846         
1972  9  5242         
1972 10  5408         
1972 11  5114         
1972 12  5042         
1973  1  5008         
1973  2  4657         
1973  3  5359         
1973  4  5193         
1973  5  5891         
1973  6  5980         
1973  7  6390         
1973  8  6366         
1973  9  5756         
1973 10  5640         
1973 11  5429         
1973 12  5398         
1974  1  5413         
1974  2  5141         
1974  3  5695         
1974  4  5554         
1974  5  6369         
1974  6  6592         
1974  7  7107         
1974  8  6917         
1974  9  6353         
1974 10  6205         
1974 11  5830         
1974 12  5646         
1975  1  5379         
1975  2  5489         
1975  3  5824         
1975  4  5907         
1975  5  6482         
1975  6  6795         
1975  7  7028         
1975  8  6776         
1975  9  6274         
1975 10  6362         
1975 11  5940         
1975 12  5958         
1976  1  5769         
1976  2  5887         
1976  3  6367         
1976  4  6165         
1976  5  6868         
1976  6  7201         
1976  7  7601         
1976  8  7581         
1976  9  7090         
1976 10  6841         
1976 11  6408         
1976 12  6435         
1977  1  6176         
1977  2  6138         
1977  3  6717         
1977  4  6470         
1977  5  7312         
1977  6  7763         
1977  7  8171         
1977  8  7788         
1977  9  7311         
1977 10  6679         
1977 11  6704         
1977 12  6724         
1978  1  6552         
1978  2  6427         
1978  3  7105         
1978  4  6869         
1978  5  7683         
1978  6  8082         
1978  7  8555         
1978  8  8386         
1978  9  7553         
1978 10  7398         
1978 11  7112         
1978 12  6886         
1979  1  7077         
1979  2  6820         
1979  3  7426         
1979  4  7143         
1979  5  8261         
1979  6  8240         
1979  7  8977         
1979  8  8991         
1979  9  8026         
1979 10  7911         
1979 11  7510         
1979 12  7381         
1980  1  7366         
1980  2  7414         
1980  3  7824         
1980  4  7524         
1980  5  8279         
1980  6  8707         
1980  7  9486         
1980  8  8973         
1980  9  8231         
1980 10  8206         
1980 11  7927         
1980 12  7999         
1981  1  7834         
1981  2  7521         
1981  3  8284         
1981  4  7999         
1981  5  8940         
1981  6  9381         
1981  7 10078         
1981  8  9796         
1981  9  8471         
1981 10  8572         
1981 11  8150         
1981 12  8168         
1982  1  8166         
1982  2  7903         
1982  3  8606         
1982  4  8071         
1982  5  9178         
1982  6  9873         
1982  7 10476         
1982  8  9296         
1982  9  8818         
1982 10  8697         
1982 11  8381         
1982 12  8293         
1983  1  7942         
1983  2  8001         
1983  3  8744         
1983  4  8397         
1983  5  9115         
1983  6  9773         
1983  7 10358         
1983  8  9849         
1983  9  9083         
1983 10  9143         
1983 11  8800         
1983 12  8741         
1984  1  8492         
1984  2  8795         
1984  3  9354         
1984  4  8796         
1984  5 10072         
1984  6 10174         
1984  7 11326         
1984  8 10744         
1984  9  9806         
1984 10  9740         
1984 11  9373         
1984 12  9244         
1985  1  9407         
1985  2  8827         
1985  3  9880         
1985  4  9364         
1985  5 10580         
1985  6 10899         
1985  7 11687         
1985  8 11280         
1985  9 10208         
1985 10 10212         
1985 11  9725         
1985 12  9721         
1986  1  9846         
1986  2  9407         
1986  3 10265         
1986  4  9970         
1986  5 10801         
1986  6 11246         
1986  7 12167         
1986  8 11578         
1986  9 10645         
1986 10 10613         
1986 11 10104         
1986 12 10348         
1987  1 10263         
1987  2  9973         
1987  3 10803         
1987  4 10409         
1987  5 11458         
1987  6 11845         
1987  7 12559         
1987  8 12070         
1987  9 11221         
1987 10 11338         
1987 11 10761         
1987 12 11012         
1988  1 10923         
1988  2 10790         
1988  3 11427         
1988  4 10788         
1988  5 11772         
1988  6 12104         
1988  7 12634         
1988  8 12772         
1988  9 11764         
1988 10 11956         
1988 11 11646         
1988 12 11750         
1989  1 11485         
1989  2 11198         
1989  3 12265         
1989  4 11704         
1989  5 12419         
1989  6 13259         
1989  7 13945         
1989  8 13839         
1989  9 12387         
1989 10 12546         
1989 11 12038         
1989 12 11977         
1990  1 12336         
1990  2 11793         
1990  3 12877         
1990  4 11923         
1990  5 13306         
1990  6 13988         
1990  7 14002         
1990  8 14338         
1990  9 12867         
1990 10 12761         
1990 11 12449         
1990 12 12658         
1991  1 12807         
1991  2 12013         
 
