# Data from file finserv.dat distributed with Introduction to
# Time Series and Forecasting by Peter J. Brockwell and
# Richard A. Davis, Springer 1996
# (C) 1996 Springer-Verlag New York, Inc.
# Australian Expenditure on Financial
# Services in millions of dollars.
# Sep. qtr 69 - Mar qtr 90
# Not referenced in index
# Col. 1: Year
# Col. 2: Quarter (1 = Mar, 2 = Sun, 3 = Sep, 4 = Dec)
# Col. 3: Financial services expenditures
1969 3  393       
1969 4  444       
1970 1  403       
1970 2  403       
1970 3  430       
1970 4  453       
1971 1  413       
1971 2  424       
1971 3  432       
1971 4  440       
1972 1  445       
1972 2  447       
1972 3  503       
1972 4  497       
1973 1  498       
1973 2  505       
1973 3  569       
1973 4  560       
1974 1  556       
1974 2  560       
1974 3  531       
1974 4  546       
1975 1  544       
1975 2  547       
1975 3  544       
1975 4  559       
1976 1  548       
1976 2  551       
1976 3  579       
1976 4  584       
1977 1  604       
1977 2  602       
1977 3  591       
1977 4  629       
1978 1  645       
1978 2  667       
1978 3  667       
1978 4  667       
1979 1  696       
1979 2  708       
1979 3  718       
1979 4  728       
1980 1  729       
1980 2  738       
1980 3  742       
1980 4  774       
1981 1  770       
1981 2  792       
1981 3  801       
1981 4  805       
1982 1  804       
1982 2  836       
1982 3  841       
1982 4  851       
1983 1  860       
1983 2  871       
1983 3  888       
1983 4  878       
1984 1  898       
1984 2  897       
1984 3  900       
1984 4  921       
1985 1  951       
1985 2  957       
1985 3  999       
1985 4 1009       
1986 1 1021       
1986 2 1068       
1986 3 1083       
1986 4 1118       
1987 1 1185       
1987 2 1222       
1987 3 1349       
1987 4 1410       
1988 1 1445       
1988 2 1491       
1988 3 1534       
1988 4 1574       
1989 1 1640       
1989 2 1710       
1989 3 1809       
1989 4 1850       
1990 1 1907       
1990 2 1972       
1990 3 2063       
1990 4 2150       
 
