# Data from file gnfp.dat distributed with Introduction to
# Time Series and Forecasting by Peter J. Brockwell and
# Richard A. Davis, Springer 1996
# (C) 1996 Springer-Verlag New York, Inc.
# Australian Gross Non-farm Product at average 1984/5 prices in
# millions of dollars.
# Sep. qtr 59 - Dec Qtr 90
# Not mentioned in index
# Col. 1: Year
# Col. 2: Quarter (1 = Mar, 2 = Jun, 3 = Sep, 4 = Dec)
# Col. 3: Australian Gross Non-farm Product
1959 3 18530        
1959 4 20175        
1960 1 18433        
1960 2 18928        
1960 3 19850        
1960 4 20994        
1961 1 18635        
1961 2 18792        
1961 3 19083        
1961 4 20760        
1962 1 19208        
1962 2 20100        
1962 3 20516        
1962 4 22297        
1963 1 20233        
1963 2 21118        
1963 3 22045        
1963 4 24345        
1964 1 21422        
1964 2 22568        
1964 3 23655        
1964 4 25669        
1965 1 23118        
1965 2 24492        
1965 3 25175        
1965 4 26569        
1966 1 23796        
1966 2 24999        
1966 3 25796        
1966 4 27790        
1967 1 25537        
1967 2 26890        
1967 3 27299        
1967 4 29583        
1968 1 26940        
1968 2 28233        
1968 3 29048        
1968 4 31812        
1969 1 28581        
1969 2 30215        
1969 3 31578        
1969 4 34377        
1970 1 30013        
1970 2 32687        
1970 3 33555        
1970 4 36014        
1971 1 31938        
1971 2 34014        
1971 3 35073        
1971 4 37840        
1972 1 33080        
1972 2 35474        
1972 3 36019        
1972 4 39797        
1973 1 35675        
1973 2 37086        
1973 3 38281        
1973 4 41493        
1974 1 36653        
1974 2 38302        
1974 3 38308        
1974 4 41446        
1975 1 36970        
1975 2 39590        
1975 3 36978        
1975 4 41966        
1976 1 38818        
1976 2 40481        
1976 3 40993        
1976 4 43688        
1977 1 39302        
1977 2 40987        
1977 3 41443        
1977 4 43212        
1978 1 40234        
1978 2 42052        
1978 3 42616        
1978 4 45494        
1979 1 42403        
1979 2 43259        
1979 3 43833        
1979 4 47389        
1980 1 43340        
1980 2 44507        
1980 3 45383        
1980 4 49750        
1981 1 44630        
1981 2 46735        
1981 3 47504        
1981 4 50376        
1982 1 44956        
1982 2 46855        
1982 3 47093        
1982 4 50080        
1983 1 44575        
1983 2 46400        
1983 3 47635        
1983 4 51275        
1984 1 48075        
1984 2 49858        
1984 3 50949        
1984 4 54234        
1985 1 49756        
1985 2 52415        
1985 3 54080        
1985 4 56858        
1986 1 51940        
1986 2 53475        
1986 3 54716        
1986 4 58414        
1987 1 53231        
1987 2 56078        
1987 3 57948        
1987 4 61196        
1988 1 56515        
1988 2 58014        
1988 3 59755        
1988 4 63107        
1989 1 59095        
1989 2 61147        
1989 3 62000        
1989 4 65205        
1990 1 60389        
1990 2 62494        
1990 3 62050        
1990 4 65175        
 
