# Data from file imports.dat distributed with Introduction to
# Time Series and Forecasting by Peter J. Brockwell and
# Richard A. Davis, Springer 1996
# (C) 1996 Springer-Verlag New York, Inc.
# Australian imports of all goods and services
# in millions of $A at average 1984/85 prices.
# September quarter 1959 - December quarter 1990
# Not referenced in index
# Col. 1: Year
# Col. 2: Quarter (1 = Mar, 2 = Sun, 3 = Sep, 4 = Dec)
# Col. 3: Australian imports of all goods and services
 1959 3  2391
 1959 4  2488
 1960 1  2624
 1960 2  2889
 1960 3  2981
 1960 4  3007
 1961 1  3052
 1961 2  2677
 1961 3  2347
 1961 4  2268
 1962 1  2576
 1962 2  2792
 1962 3  2889
 1962 4  2871
 1963 1  2906
 1963 2  3060
 1963 3  3104
 1963 4  3021
 1964 1  3280
 1964 2  2602
 1964 3  3756
 1964 4  3840
 1965 1  3827
 1965 2  4095
 1965 3  4403
 1965 4  4077
 1966 1  3694
 1966 2  3734
 1966 3  3928
 1966 4  3809
 1967 1  4161
 1967 2  4276
 1967 3  4280
 1967 4  4210
 1968 1  4870
 1968 2  4694
 1968 3  4822
 1968 4  4628
 1969 1  4456
 1969 2  4729
 1969 3  5150
 1969 4  5157
 1970 1  5033
 1970 2  5233
 1970 3  5230
 1970 4  5072
 1971 1  4945
 1971 2  5178
 1971 3  5402
 1971 4  5033
 1972 1  4807
 1972 2  4532
 1972 3  4578
 1972 4  4877
 1973 1  5163
 1973 2  5394
 1973 3  6090
 1973 4  6383
 1974 1  6752
 1974 2  7043
 1974 3  7936
 1974 4  7159
 1975 1  6151
 1975 2  5803
 1975 3  6183
 1975 4  6204
 1976 1  6508
 1976 2  6503
 1976 3  7330
 1976 4  6872
 1977 1  7124
 1977 2  6874
 1977 3  6883
 1977 4  6414
 1978 1  6883
 1978 2  6894
 1978 3  6883
 1978 4  6414
 1979 1  7268
 1979 2  7395
 1979 3  7062
 1979 4  7442
 1980 1  7625
 1980 2  7104
 1980 3  7907
 1980 4  7916
 1981 1  7959
 1981 2  8156
 1981 3  8808
 1981 4  8589
 1982 1  9040
 1982 2  9102
 1982 3  8951
 1982 4  8220
 1983 1  7642
 1983 2  7691
 1983 3  8184
 1983 4  8110
 1984 1  8689
 1984 2  9206
 1984 3 10482
 1984 4  9741
 1985 1  9411
 1985 2  9872
 1985 3 10703
 1985 4 10205
 1986 1  9485
 1986 2  9690
 1986 3 10004
 1986 4  9891
 1987 1  9174
 1987 2  9879
 1987 3 10498
 1987 4 10852
 1988 1 10584
 1988 2 10826
 1988 3 12239
 1988 4 13060
 1989 1 13383
 1989 2 14124
 1989 3 14609
 1989 4 14035
 1990 1 13632
 1990 2 12704
 1990 3 14294
 1990 4 13447
 
